Local time,Open,High,Low,Close,Volume
06.01.2020 21:30:00.000 GMT-0500,1.11917,1.11923,1.11909,1.11912,432.36
06.01.2020 21:45:00.000 GMT-0500,1.11912,1.11919,1.11912,1.11913,447.57
06.01.2020 22:00:00.000 GMT-0500,1.11914,1.11942,1.11912,1.11939,791.75
06.01.2020 22:15:00.000 GMT-0500,1.11939,1.11943,1.11927,1.11930,638.9200000000001
06.01.2020 22:30:00.000 GMT-0500,1.11930,1.11943,1.11927,1.11929,480.70000000000005
06.01.2020 22:45:00.000 GMT-0500,1.11929,1.11934,1.11920,1.11922,367.36999999999995
06.01.2020 23:00:00.000 GMT-0500,1.11921,1.11931,1.11911,1.11923,756.36
06.01.2020 23:15:00.000 GMT-0500,1.11925,1.11934,1.11925,1.11930,557.72
06.01.2020 23:30:00.000 GMT-0500,1.11929,1.11931,1.11919,1.11928,395.98
06.01.2020 23:45:00.000 GMT-0500,1.11928,1.11933,1.11905,1.11909,474.39000000000004
07.01.2020 00:00:00.000 GMT-0500,1.11908,1.11924,1.11902,1.11919,469.2099999999999
07.01.2020 00:15:00.000 GMT-0500,1.11919,1.11920,1.11908,1.11914,422.91
07.01.2020 00:30:00.000 GMT-0500,1.11915,1.11919,1.11908,1.11908,327.1699999999999
07.01.2020 00:45:00.000 GMT-0500,1.11907,1.11907,1.11828,1.11830,1399.4
07.01.2020 01:00:00.000 GMT-0500,1.11829,1.11886,1.11809,1.11873,2190.5699999999997
07.01.2020 01:15:00.000 GMT-0500,1.11872,1.11881,1.11832,1.11852,1228.07
07.01.2020 01:30:00.000 GMT-0500,1.11853,1.11897,1.11852,1.11877,1083.1100000000001
07.01.2020 01:45:00.000 GMT-0500,1.11876,1.11893,1.11809,1.11816,1706.1800000000003
07.01.2020 02:00:00.000 GMT-0500,1.11815,1.11854,1.11782,1.11841,2336.39
07.01.2020 02:15:00.000 GMT-0500,1.11840,1.11852,1.11811,1.11815,1694.4100000000003
07.01.2020 02:30:00.000 GMT-0500,1.11814,1.11817,1.11731,1.11773,2774.72
07.01.2020 02:45:00.000 GMT-0500,1.11772,1.11787,1.11729,1.11740,1870.8600000000001
07.01.2020 03:00:00.000 GMT-0500,1.11740,1.11781,1.11726,1.11754,3095.87
07.01.2020 03:15:00.000 GMT-0500,1.11754,1.11809,1.11737,1.11806,2358.12
07.01.2020 03:30:00.000 GMT-0500,1.11805,1.11875,1.11802,1.11835,2696.6
07.01.2020 03:45:00.000 GMT-0500,1.11834,1.11866,1.11823,1.11847,2234.8
07.01.2020 04:00:00.000 GMT-0500,1.11846,1.11896,1.11839,1.11855,2372.69
07.01.2020 04:15:00.000 GMT-0500,1.11854,1.11866,1.11809,1.11829,1951.02
07.01.2020 04:30:00.000 GMT-0500,1.11829,1.11844,1.11811,1.11827,1878.7199999999998
07.01.2020 04:45:00.000 GMT-0500,1.11827,1.11849,1.11805,1.11845,1778.31
07.01.2020 05:00:00.000 GMT-0500,1.11846,1.11862,1.11809,1.11836,2338.2799999999997
07.01.2020 05:15:00.000 GMT-0500,1.11837,1.11856,1.11648,1.11662,3609.3300000000004
07.01.2020 05:30:00.000 GMT-0500,1.11664,1.11738,1.11661,1.11734,2358.5099999999993
07.01.2020 05:45:00.000 GMT-0500,1.11736,1.11766,1.11717,1.11762,1601.39
07.01.2020 06:00:00.000 GMT-0500,1.11762,1.11775,1.11720,1.11744,2325.45
07.01.2020 06:15:00.000 GMT-0500,1.11744,1.11794,1.11735,1.11787,2493.72
07.01.2020 06:30:00.000 GMT-0500,1.11788,1.11817,1.11763,1.11811,1769.0600000000002
07.01.2020 06:45:00.000 GMT-0500,1.11811,1.11849,1.11777,1.11816,3284.3399999999997
07.01.2020 07:00:00.000 GMT-0500,1.11817,1.11831,1.11786,1.11811,2739.93
07.01.2020 07:15:00.000 GMT-0500,1.11810,1.11810,1.11771,1.11795,1957.58
07.01.2020 07:30:00.000 GMT-0500,1.11796,1.11805,1.11772,1.11790,1860.61
07.01.2020 07:45:00.000 GMT-0500,1.11790,1.11798,1.11708,1.11748,2536.2500000000005
07.01.2020 08:00:00.000 GMT-0500,1.11746,1.11778,1.11705,1.11719,3460.18
07.01.2020 08:15:00.000 GMT-0500,1.11718,1.11757,1.11677,1.11737,2722.58
07.01.2020 08:30:00.000 GMT-0500,1.11736,1.11738,1.11661,1.11679,3368.6400000000003
07.01.2020 08:45:00.000 GMT-0500,1.11680,1.11697,1.11548,1.11561,3303.6800000000003
07.01.2020 09:00:00.000 GMT-0500,1.11560,1.11610,1.11550,1.11600,2861.07
07.01.2020 09:15:00.000 GMT-0500,1.11601,1.11622,1.11565,1.11577,2606.72
07.01.2020 09:30:00.000 GMT-0500,1.11576,1.11599,1.11491,1.11560,3691.34
07.01.2020 09:45:00.000 GMT-0500,1.11561,1.11561,1.11465,1.11478,3531.5099999999998
07.01.2020 10:00:00.000 GMT-0500,1.11476,1.11516,1.11415,1.11510,4218.29
07.01.2020 10:15:00.000 GMT-0500,1.11510,1.11510,1.11376,1.11399,3950.4300000000003
07.01.2020 10:30:00.000 GMT-0500,1.11398,1.11426,1.11351,1.11352,3605.38
07.01.2020 10:45:00.000 GMT-0500,1.11352,1.11419,1.11342,1.11417,3098.3699999999994
07.01.2020 11:00:00.000 GMT-0500,1.11417,1.11439,1.11367,1.11378,2766.51
07.01.2020 11:15:00.000 GMT-0500,1.11379,1.11384,1.11335,1.11384,2059.55
07.01.2020 11:30:00.000 GMT-0500,1.11383,1.11394,1.11342,1.11368,1900.36
07.01.2020 11:45:00.000 GMT-0500,1.11369,1.11387,1.11357,1.11369,1739.7699999999998
07.01.2020 12:00:00.000 GMT-0500,1.11369,1.11419,1.11366,1.11419,1867.52
07.01.2020 12:15:00.000 GMT-0500,1.11417,1.11461,1.11413,1.11440,1666.2100000000003
07.01.2020 12:30:00.000 GMT-0500,1.11442,1.11473,1.11425,1.11463,1575.4799999999998
07.01.2020 12:45:00.000 GMT-0500,1.11462,1.11470,1.11416,1.11424,1601.1200000000001
07.01.2020 13:00:00.000 GMT-0500,1.11425,1.11446,1.11414,1.11434,1158.23
07.01.2020 13:15:00.000 GMT-0500,1.11436,1.11495,1.11436,1.11489,1352.87
